PHI, DEN, MIL, MEM,MIL,MEM,
MIL,LAC,PHI,LAC,BOS,DEN,
BOS,GS,BOS,GS,MIA,GS,
CLE,MEM,MIA,DEN,PHI,PHX,
MIA,PHX,TOR,DAL,BKN,MIN,
BKN,MIN,ATL,PHX,CLE,LAC,
TOR,DAL,CLE,NO,ATL,NO,
ATL,NO,BKN,MIN,TOR,LAL,
CHI,LAL,CHI,LAL,CHI,DAL,
NY,SAC,NY,SAC,CHA,SA
